,0,1
OwnedCore,2013-08-01,"880,331"
Mastercard Priceless Specials,2019-08-20,"89,388"
Social Engineered,2019-06-13,"89,392"
GiveSendGo,2022-02-07,"89,966"
XPG,2016-01-01,"890,341"
Jefit,2020-08-11,"9,052,457"
7k7k,2011-01-01,"9,121,434"
Bitly,2014-05-08,"9,313,136"
Adapt,2018-11-05,"9,363,740"
Wishbone (2020),2020-01-27,"9,705,172"
AgusiQ-Torrents.pl,2019-09-24,"90,478"
SirHurt,2021-04-23,"90,655"
Rambler,2014-03-01,"91,436,280"
Youku,2016-12-01,"91,890,110"
MyHeritage,2017-10-26,"91,991,358"
AKP Emails,2016-07-19,"917,461"
Abandonia (2022),2022-11-15,"919,790"
VK,2012-01-01,"93,338,602"
Benchmark,2019-11-01,"93,343"
Mac-Torrents,2015-10-31,"93,992"
Raychat,2021-01-31,"938,981"
Vianet,2020-04-08,"94,353"
CrimeAgency vBulletin Hacks,2017-01-19,"942,044"
Void.to,2019-06-13,"95,431"
Teracod,2016-05-28,"97,151"
MyFHA,2015-02-18,"972,629"
Tuned Global,2016-03-16,"985,586"
StreetEasy,2016-06-28,"988,230"
PetFlow,2017-12-09,"990,919"
Bolt,2017-03-01,"995,274"
Little Monsters,2017-01-01,"995,698"
